player_name,age,games,games_played,minutes,minutes_90s,shots,passes,passes_total_distance,tackles,tackles_won,blocks,interceptions,touches,passes_received,fouls,fouled,aerials_won,aerials_lost,n_injuries,n_severe_injuries,currently_injured,position_DF,position_FW,position_GK,position_MF
Alessandro Zanoli,28.40821918,9,3,390,4.3,6,272,4508,8,4,3,8,303,208,7,4,1,1,14,2,0,0,0,0,1
Stanislav Lobotka,24.24383562,11,9,716,8,8,249,3070,7,3,10,5,320,223,10,5,6,13,15,1,0,0,0,0,1
Diego Demme,27.64657534,11,11,932,10.4,13,392,5823,21,10,18,12,504,319,14,14,11,10,12,0,0,0,0,0,1
Gianluca Gaetano,19.31232877,13,6,625,6.9,14,271,2974,12,5,9,2,371,247,12,11,2,10,1,0,0,0,1,0,1
Khvicha Kvaratskhelia,21.78356164,7,3,329,3.7,5,145,1988,6,4,3,5,182,121,3,5,0,2,7,0,1,0,0,0,1
Khvicha Kvaratskhelia,21.78356164,7,3,329,3.7,5,145,1988,6,4,3,5,182,121,3,5,0,2,7,0,1,0,0,0,1
Khvicha Kvaratskhelia,21.78356164,7,3,329,3.7,5,145,1988,6,4,3,5,182,121,3,5,0,2,7,0,1,0,0,0,1
Khvicha Kvaratskhelia,21.78356164,7,3,329,3.7,5,145,1988,6,4,3,5,182,121,3,5,0,2,7,0,1,0,0,0,1
Khvicha Kvaratskhelia,21.78356164,7,3,329,3.7,5,145,1988,6,4,3,5,182,121,3,5,0,2,7,0,1,0,0,0,1
Khvicha Kvaratskhelia,21.78356164,7,3,329,3.7,5,145,1988,6,4,3,5,182,121,3,5,0,2,7,0,1,0,0,0,1
Khvicha Kvaratskhelia,21.78356164,7,3,329,3.7,5,145,1988,6,4,3,5,182,121,3,5,0,2,7,0,1,0,0,0,1
Khvicha Kvaratskhelia,21.78356164,7,3,329,3.7,5,145,1988,6,4,3,5,182,121,3,5,0,2,7,0,1,0,0,0,1
Khvicha Kvaratskhelia,21.78356164,7,3,329,3.7,5,145,1988,6,4,3,5,182,121,3,5,0,2,7,0,1,0,0,0,1
Khvicha Kvaratskhelia,21.78356164,7,3,329,3.7,5,145,1988,6,4,3,5,182,121,3,5,0,2,7,0,1,0,0,0,1
